 ,Area,Mean,Min,Max
748,303,4521.261,3385,5736
749,408,6414.765,3392,9140
750,286,5018.500,3388,6229
751,454,5949.681,3385,7883
752,294,4805.548,3388,6369
753,186,7789.188,3384,13545
754,288,4478.500,3390,5689
755,274,5018.142,3401,6535
756,362,4640.616,3391,6103
757,301,4587.983,3387,5659
758,327,4867.872,3398,6241
759,323,4222.099,3384,5108
760,352,4702.051,3400,6068
761,331,4357.870,3400,5640
762,285,5721.993,3383,8482
763,280,5214.993,3403,6953
764,442,4566.747,3383,5736
765,459,5795.434,3395,8408
766,307,4372.573,3383,5395
767,322,5606.012,3383,8316
768,282,4798.131,3386,5956
769,329,4329.605,3407,5656
770,199,7311.990,3419,10845
771,274,5316.555,3412,6859
772,276,5914.094,3396,8717
773,293,4737.468,3387,6743
774,435,7386.326,3476,13667
775,283,4575.025,3383,6004
776,343,5416.015,3395,7555
777,292,5032.812,3389,6772
778,308,4524.971,3408,5999
779,345,4899.736,3395,6618
780,351,4537.661,3413,5617
781,489,5136.524,3382,6780
782,318,5514.613,3439,7220
783,402,4723.211,3400,6365
784,486,6486.747,3394,9050
785,275,5241.244,3386,7412
786,372,4442.368,3389,5408
787,285,5065.189,3395,7162
788,354,4218.393,3389,5654
789,295,4556.441,3398,5809
790,250,4038.976,3390,4791
791,492,5612.707,3427,7635
792,439,6376.100,3416,8909
793,336,5429.077,3399,7071
794,294,3938.187,3390,5000
795,377,4502.886,3388,5704
796,293,4374.164,3398,5753
797,301,4755.927,3399,6625
798,285,4006.639,3384,4854
799,354,4325.133,3383,5721
800,490,4428.229,3395,5627
801,325,3947.034,3383,4763
802,467,6696.167,3413,9864
803,489,6466.548,3424,9420
804,319,4472.498,3428,5691
805,308,4379.614,3387,5447
806,317,4425.937,3390,5967
807,294,4718.228,3404,5940
808,324,4143.460,3392,5589
809,436,4508.553,3382,5892
810,315,4379.705,3385,5805
811,474,6691.426,3399,9318
812,391,7972.560,3387,11677
813,382,4618.387,3386,6101
814,311,4545.193,3387,6295
815,303,4133.710,3388,5419
816,497,6542.885,3394,11844
817,296,4540.422,3401,5757
818,311,5406.331,3398,7977
819,440,5198.398,3446,7007
820,331,4170.015,3388,5218
821,302,4679.563,3386,6157
822,408,7766.605,3392,10954
823,292,4960.288,3386,6653
824,325,4197.797,3383,5771
825,207,6927.826,3400,10714
826,304,4530.184,3424,5561
827,474,4565.371,3387,5902
828,433,3885.855,3394,4621
829,308,4671.607,3386,5965
830,464,6389.058,3385,8917
831,353,4074.720,3387,5385
832,465,4606.802,3382,6464
833,354,4118.641,3391,5147
834,313,4640.725,3404,5935
835,302,4843.874,3393,6215
836,312,4777.061,3402,6494
837,306,4870.157,3395,6733
838,343,4661.327,3387,6015
839,349,4616.779,3398,6060
840,305,4667.046,3391,6288
841,383,4070.399,3382,4957
842,339,4065.835,3385,5429
843,183,7101.213,3426,11228
844,299,3841.124,3385,4747
845,348,5168.118,3384,6834
846,280,3883.236,3383,4663
847,323,4143.947,3391,5245
848,290,5131.514,3389,7375
849,304,4051.628,3387,5004
850,309,4625.217,3405,6152
851,387,4206.457,3383,5248
852,299,4898.120,3402,6542
853,373,4442.753,3397,5967
854,249,6036.574,3426,8194
855,229,6698.646,3400,9479
856,214,6946.187,3394,10538
857,294,5591.779,3390,7915
858,441,4585.179,3388,6141
859,309,4373.453,3384,5548
860,461,5370.386,3389,7577
861,318,4411.701,3393,5654
862,294,4851.350,3395,6893
863,321,4205.586,3395,5128
864,357,5375.345,3435,7763
865,311,4439.363,3389,5725
866,326,4241.847,3389,5402
867,324,4213.383,3385,5421
868,326,5428.239,3386,7610
869,421,4162.287,3385,5444
870,372,4424.664,3385,5631
871,321,5292.262,3393,7320
872,331,3877.785,3383,4703
873,308,4688.393,3395,6466
874,325,4371.658,3399,5980
875,305,4847.869,3383,6309
876,327,3966.239,3384,4905
877,441,8215.435,3410,15014
878,290,4009.590,3382,5157
879,338,5472.849,3395,7362
880,308,4512.448,3383,5968
881,323,3990.653,3385,4925
882,289,5056.557,3453,6684
883,382,4876.309,3445,7365
884,386,3900.171,3383,5063
885,312,4105.054,3389,5450
886,321,4268.115,3396,5761
887,182,8286.742,3384,13694
888,469,5384.629,3389,7099
889,327,5173.602,3390,7114
890,332,4021.566,3383,4885
891,292,4989.418,3405,6765
892,346,4252.361,3383,5251
893,489,4673.967,3383,5937
894,328,4603.308,3406,6215
895,348,4377.618,3393,5818
896,326,4954.199,3395,6655
897,464,5515.267,3385,7914
898,295,4723.210,3387,6475
899,236,6368.242,3428,8876
900,361,6264.784,3393,8823
901,333,4073.120,3405,5103
902,434,6890.306,3420,9336
903,428,6723.215,3382,9532
904,341,5064.534,3389,6815
905,323,4420.043,3390,5831
906,455,6529.396,3383,10226
907,303,4178.670,3383,5393
908,307,4232.495,3383,5784
909,283,5238.597,3443,6885
910,314,5524.475,3387,7601
911,333,4041.324,3384,5440
912,268,5666.925,3402,7770
913,484,5614.079,3404,7566
914,456,6625.689,3422,8950
915,316,4205.123,3388,5431
916,287,5446.648,3420,7520
917,307,4612.020,3383,6616
918,324,5583.994,3382,7479
919,455,4488.679,3387,5654
920,330,4195.709,3387,5696
921,289,5037.495,3433,6829
922,411,7806.046,3390,11189
923,466,6864.129,3383,19824
924,460,3954.465,3382,4945
925,333,4079.736,3389,5132
926,302,4590.748,3390,6433
927,389,8060.177,3389,12291
928,356,5797.860,3421,7776
929,454,6382.934,3424,9194
